Labels,050922-45dk-em,
Type,Emission Scan,
Comment,,
Start,320.00,
Stop,500.00,
Step,1.00,
Fixed/Offset,300.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.00,
Detector,Detector 1,

320.00,1.28009424E+3,
321.00,1.06066138E+3,
322.00,7.33822449E+2,
323.00,6.45959900E+2,
324.00,7.11652588E+2,
325.00,3.69090332E+2,
326.00,2.54809006E+2,
327.00,3.95142517E+2,
328.00,3.54335876E+2,
329.00,5.59730530E+2,
330.00,7.59703613E+2,
331.00,8.51575623E+2,
332.00,9.06612488E+2,
333.00,7.93120117E+2,
334.00,7.80733337E+2,
335.00,7.04401245E+2,
336.00,1.03855237E+3,
337.00,9.89738464E+2,
338.00,1.09503638E+3,
339.00,1.97316980E+3,
340.00,2.29278125E+3,
341.00,3.52399023E+3,
342.00,3.69065723E+3,
343.00,3.51565234E+3,
344.00,3.78339844E+3,
345.00,5.03625146E+3,
346.00,7.79571338E+3,
347.00,1.07873330E+4,
348.00,1.23875537E+4,
349.00,9.79640430E+3,
350.00,9.27794043E+3,
351.00,5.81909033E+3,
352.00,5.13319385E+3,
353.00,5.09635791E+3,
354.00,5.51819531E+3,
355.00,5.01761426E+3,
356.00,5.41216943E+3,
357.00,4.45972461E+3,
358.00,3.28517627E+3,
359.00,2.81141943E+3,
360.00,2.45931860E+3,
361.00,2.37221826E+3,
362.00,2.00940332E+3,
363.00,1.65065234E+3,
364.00,1.36403516E+3,
365.00,1.61500671E+3,
366.00,1.63833459E+3,
367.00,1.24122424E+3,
368.00,1.74335400E+3,
369.00,1.49184094E+3,
370.00,1.45827698E+3,
371.00,1.19589661E+3,
372.00,8.98750732E+2,
373.00,9.65968201E+2,
374.00,7.31275696E+2,
375.00,1.04003906E+3,
376.00,8.28166077E+2,
377.00,1.07704688E+3,
378.00,9.78173645E+2,
379.00,8.81467285E+2,
380.00,7.31743591E+2,
381.00,8.14374207E+2,
382.00,7.73165283E+2,
383.00,5.75610413E+2,
384.00,7.10404846E+2,
385.00,6.89541199E+2,
386.00,7.90272400E+2,
387.00,5.31248962E+2,
388.00,6.67971313E+2,
389.00,6.86381653E+2,
390.00,6.35417419E+2,
391.00,5.48333679E+2,
392.00,3.92463593E+2,
393.00,6.61045105E+2,
394.00,5.54638367E+2,
395.00,3.99514862E+2,
396.00,5.93320740E+2,
397.00,4.08000275E+2,
398.00,4.67724609E+2,
399.00,4.62097046E+2,
400.00,4.09091492E+2,
401.00,5.28056702E+2,
402.00,3.22065948E+2,
403.00,6.37242737E+2,
404.00,5.10887756E+2,
405.00,5.07409760E+2,
406.00,5.76208435E+2,
407.00,4.25726318E+2,
408.00,3.94250153E+2,
409.00,2.90184235E+2,
410.00,1.79972992E+2,
411.00,3.90131378E+2,
412.00,5.01163055E+2,
413.00,2.41201035E+2,
414.00,4.32227570E+2,
415.00,4.46531860E+2,
416.00,2.69519745E+2,
417.00,2.83730865E+2,
418.00,4.24129333E+2,
419.00,4.54406738E+2,
420.00,4.69193573E+2,
421.00,3.90497131E+2,
422.00,3.89020813E+2,
423.00,2.32863510E+2,
424.00,3.09584442E+2,
425.00,5.10012848E+2,
426.00,2.47145691E+2,
427.00,3.39915405E+2,
428.00,3.24584503E+2,
429.00,5.25691040E+2,
430.00,4.17049286E+2,
431.00,3.23958008E+2,
432.00,4.93769165E+2,
433.00,3.24540405E+2,
434.00,4.02485321E+2,
435.00,3.25339020E+2,
436.00,3.56717987E+2,
437.00,3.10827606E+2,
438.00,3.11524994E+2,
439.00,1.87356842E+2,
440.00,3.28435059E+2,
441.00,3.28616730E+2,
442.00,2.66469055E+2,
443.00,2.51358047E+2,
444.00,2.04532715E+2,
445.00,4.88637817E+2,
446.00,3.15997162E+2,
447.00,2.21684372E+2,
448.00,3.17222137E+2,
449.00,1.90685944E+2,
450.00,3.18770630E+2,
451.00,2.55812515E+2,
452.00,2.56773651E+2,
453.00,2.73729462E+2,
454.00,4.35854462E+2,
455.00,2.26698929E+2,
456.00,3.25371918E+2,
457.00,3.76038757E+2,
458.00,4.26091980E+2,
459.00,1.64164902E+2,
460.00,2.30670563E+2,
461.00,3.14677216E+2,
462.00,2.16537476E+2,
463.00,3.18109985E+2,
464.00,4.20431091E+2,
465.00,3.54531006E+2,
466.00,2.03477280E+2,
467.00,2.55682434E+2,
468.00,2.91373138E+2,
469.00,4.13224030E+2,
470.00,8.63502579E+1,
471.00,1.56133118E+2,
472.00,4.00658295E+2,
473.00,1.04829651E+2,
474.00,2.44835953E+2,
475.00,1.74981125E+2,
476.00,1.57695419E+2,
477.00,2.45805939E+2,
478.00,1.93676468E+2,
479.00,2.46869080E+2,
480.00,1.06065636E+2,
481.00,2.30419769E+2,
482.00,1.60054901E+2,
483.00,4.27767334E+2,
484.00,2.85708405E+2,
485.00,1.43287476E+2,
486.00,3.23612701E+2,
487.00,2.70666870E+2,
488.00,2.53517105E+2,
489.00,1.81816833E+2,
490.00,3.47427856E+2,
491.00,2.57677094E+2,
492.00,2.03486954E+2,
493.00,3.34470093E+2,
494.00,2.61688873E+2,
495.00,2.44381561E+2,
496.00,1.89029587E+2,
497.00,3.03900452E+2,
498.00,1.91153824E+2,
499.00,2.11661514E+2,
500.00,4.45474579E+2,
