Labels,CdSe_NPL_250722 PL,
Type,Emission Scan,
Comment,,
Start,380.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,350.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.500,
Detector,Detector 1,

380.00,8.82792969E+1,
381.00,1.31244507E+2,
382.00,8.68266220E+1,
383.00,-4.30584412E+1,
384.00,4.27904091E+1,
385.00,2.13125305E+2,
386.00,8.50657272E+1,
387.00,2.11915604E+2,
388.00,2.12104630E+2,
389.00,2.97008240E+2,
390.00,2.96816010E+2,
391.00,2.96005554E+2,
392.00,4.21748932E+2,
393.00,4.18677185E+2,
394.00,2.07878784E+2,
395.00,1.23495811E+2,
396.00,1.62789063E+2,
397.00,7.24483093E+2,
398.00,7.56304626E+2,
399.00,4.71918915E+2,
400.00,6.20488342E+2,
401.00,3.44910919E+2,
402.00,6.81251038E+2,
403.00,3.36842224E+2,
404.00,1.85329681E+2,
405.00,0.00000000E+0,
406.00,4.01482544E+2,
407.00,1.81194977E+2,
408.00,0.00000000E+0,
409.00,-3.58392258E+1,
410.00,2.02383881E+2,
411.00,5.64007385E+2,
412.00,4.00450745E+1,
413.00,3.97813171E+2,
414.00,3.16930237E+2,
415.00,2.76028748E+2,
416.00,-3.92260971E+1,
417.00,1.95163773E+2,
418.00,7.77316666E+1,
419.00,1.54623886E+2,
420.00,1.54461609E+2,
421.00,0.00000000E+0,
422.00,1.15369804E+2,
423.00,1.91731293E+2,
424.00,1.15075172E+2,
425.00,3.82385834E+2,
426.00,1.52760803E+2,
427.00,1.91219650E+2,
428.00,-3.82619896E+1,
429.00,7.62871704E+1,
430.00,4.19776154E+2,
431.00,3.81684036E+1,
432.00,1.90947800E+2,
433.00,1.14639832E+2,
434.00,2.29710953E+2,
435.00,3.06393677E+2,
436.00,2.29715271E+2,
437.00,2.30521896E+2,
438.00,3.84266701E+1,
439.00,1.92487732E+2,
440.00,1.15714241E+2,
441.00,2.32038315E+2,
442.00,4.25675171E+2,
443.00,7.75532684E+1,
444.00,1.16806129E+2,
445.00,2.34046753E+2,
446.00,1.56400894E+2,
447.00,3.52237213E+2,
448.00,2.74705444E+2,
449.00,3.14857239E+2,
450.00,3.15284821E+2,
451.00,3.95253937E+2,
452.00,1.19009117E+2,
453.00,3.58326141E+2,
454.00,7.99222565E+1,
455.00,2.80565857E+2,
456.00,0.00000000E+0,
457.00,4.84563477E+2,
458.00,3.64320343E+2,
459.00,5.28578186E+2,
460.00,6.52664185E+2,
461.00,1.22894531E+3,
462.00,7.41199463E+2,
463.00,1.28269006E+3,
464.00,6.64432678E+2,
465.00,1.16933032E+3,
466.00,8.40468201E+2,
467.00,7.60394165E+2,
468.00,9.75152771E+2,
469.00,8.51731384E+2,
470.00,1.36706079E+3,
471.00,1.71423206E+3,
472.00,1.50537305E+3,
473.00,1.68011707E+3,
474.00,2.37560669E+3,
475.00,3.41593994E+3,
476.00,2.81759595E+3,
477.00,3.86945288E+3,
478.00,5.27003809E+3,
479.00,6.24541016E+3,
480.00,7.78778760E+3,
481.00,1.05633760E+4,
482.00,1.08501152E+4,
483.00,1.32888955E+4,
484.00,1.56745381E+4,
485.00,1.85507188E+4,
486.00,2.47244238E+4,
487.00,2.85193672E+4,
488.00,3.05461699E+4,
489.00,3.71835000E+4,
490.00,4.59210898E+4,
491.00,5.42884336E+4,
492.00,6.55926094E+4,
493.00,7.74062891E+4,
494.00,9.11008203E+4,
495.00,1.12022539E+5,
496.00,1.34462469E+5,
497.00,1.64065453E+5,
498.00,1.93992859E+5,
499.00,2.33904391E+5,
500.00,2.95391000E+5,
501.00,3.55887344E+5,
502.00,4.36467500E+5,
503.00,5.24561063E+5,
504.00,6.51270688E+5,
505.00,7.94550063E+5,
506.00,9.70096313E+5,
507.00,1.18720425E+6,
508.00,1.42887263E+6,
509.00,1.72500425E+6,
510.00,2.03296700E+6,
511.00,2.40200250E+6,
512.00,2.84471925E+6,
513.00,3.36083025E+6,
514.00,3.84441625E+6,
515.00,4.10266075E+6,
516.00,4.05331725E+6,
517.00,3.56824175E+6,
518.00,2.93380700E+6,
519.00,2.39603825E+6,
520.00,1.83865150E+6,
521.00,1.48429100E+6,
522.00,1.14370750E+6,
523.00,9.15242250E+5,
524.00,7.39400500E+5,
525.00,5.73989375E+5,
526.00,4.79482563E+5,
527.00,3.85606750E+5,
528.00,3.02860188E+5,
529.00,2.46645266E+5,
530.00,1.94711047E+5,
531.00,1.65705922E+5,
532.00,1.31795328E+5,
533.00,1.05444070E+5,
534.00,9.58734297E+4,
535.00,7.67048828E+4,
536.00,5.98855742E+4,
537.00,5.33651445E+4,
538.00,4.48472969E+4,
539.00,4.04051758E+4,
540.00,3.30376211E+4,
541.00,3.21515273E+4,
542.00,2.84776309E+4,
543.00,2.57135410E+4,
544.00,2.59801602E+4,
545.00,1.91489824E+4,
546.00,2.02555371E+4,
547.00,1.98672188E+4,
548.00,1.89465684E+4,
549.00,1.70100410E+4,
550.00,1.28766377E+4,
551.00,1.54929199E+4,
552.00,1.45336709E+4,
553.00,1.27623271E+4,
554.00,1.33289678E+4,
555.00,1.26650186E+4,
556.00,9.86549707E+3,
557.00,9.38767773E+3,
558.00,9.17807910E+3,
559.00,8.94308789E+3,
560.00,9.23806543E+3,
561.00,8.73874316E+3,
562.00,9.08998047E+3,
563.00,8.56739648E+3,
564.00,7.36043311E+3,
565.00,7.72014355E+3,
566.00,8.61478809E+3,
567.00,9.85445117E+3,
568.00,7.59936719E+3,
569.00,6.88451416E+3,
570.00,6.00025488E+3,
571.00,6.44626953E+3,
572.00,6.00653320E+3,
573.00,6.46002539E+3,
574.00,5.45568457E+3,
575.00,6.16222168E+3,
576.00,5.54523633E+3,
577.00,5.24754541E+3,
578.00,3.95362476E+3,
579.00,5.77132373E+3,
580.00,4.62043457E+3,
581.00,4.91348047E+3,
582.00,4.60576758E+3,
583.00,3.85035913E+3,
584.00,3.97648901E+3,
585.00,3.65467969E+3,
586.00,3.68329834E+3,
587.00,3.53183545E+3,
588.00,3.37397583E+3,
589.00,3.21686255E+3,
590.00,3.24385791E+3,
591.00,3.36095874E+3,
592.00,3.85632397E+3,
593.00,1.79965564E+3,
594.00,3.24956519E+3,
595.00,3.66580469E+3,
596.00,3.50380371E+3,
597.00,3.14021899E+3,
598.00,3.16501367E+3,
599.00,2.79407764E+3,
600.00,2.21414917E+3,
601.00,3.96054395E+3,
602.00,2.97332910E+3,
603.00,2.58776416E+3,
604.00,2.50433716E+3,
605.00,3.47846777E+3,
606.00,2.86911133E+3,
607.00,1.92771802E+3,
608.00,1.83875867E+3,
609.00,2.95249170E+3,
610.00,3.41853149E+3,
611.00,2.33699219E+3,
612.00,2.24634766E+3,
613.00,2.04518164E+3,
614.00,3.10139746E+3,
615.00,3.01560254E+3,
616.00,2.92961890E+3,
617.00,2.60863477E+3,
618.00,3.10989258E+3,
619.00,2.54273608E+3,
620.00,2.44765112E+3,
621.00,3.70742603E+3,
622.00,3.24943408E+3,
623.00,4.29414844E+3,
624.00,2.04080481E+3,
625.00,2.96701465E+3,
626.00,3.78878833E+3,
627.00,3.03690259E+3,
628.00,3.46925684E+3,
629.00,4.31601416E+3,
630.00,5.32472656E+3,
631.00,3.17960107E+3,
632.00,3.91756567E+3,
633.00,4.53589258E+3,
634.00,3.58759766E+3,
635.00,2.90685205E+3,
636.00,4.41107568E+3,
637.00,2.53214233E+3,
638.00,2.86529175E+3,
639.00,1.83044812E+3,
640.00,4.01649902E+3,
641.00,6.09248242E+3,
642.00,3.62549316E+3,
643.00,2.69722314E+3,
644.00,4.00284839E+3,
645.00,4.51752441E+3,
646.00,2.92737769E+3,
647.00,3.12112769E+3,
648.00,4.14376709E+3,
649.00,4.18194189E+3,
650.00,5.40674268E+3,
651.00,3.92366626E+3,
652.00,2.75581494E+3,
653.00,1.91306055E+3,
654.00,3.86272778E+3,
655.00,5.31796484E+3,
656.00,4.83364697E+3,
657.00,3.79998120E+3,
658.00,2.01225891E+3,
659.00,4.62183301E+3,
660.00,6.53826465E+3,
661.00,3.96309155E+3,
662.00,3.24130786E+3,
663.00,2.50377515E+3,
664.00,5.06575732E+3,
665.00,3.35099292E+3,
666.00,3.38760742E+3,
667.00,4.43684619E+3,
668.00,4.28486426E+3,
669.00,4.33582178E+3,
670.00,2.08842139E+3,
671.00,5.07242285E+3,
672.00,1.92511353E+3,
673.00,3.24453125E+3,
674.00,2.18860132E+3,
675.00,2.88147314E+3,
676.00,2.69530933E+3,
677.00,3.41396509E+3,
678.00,3.45605859E+3,
679.00,2.56662378E+3,
680.00,3.83561694E+3,
681.00,2.66580737E+3,
682.00,3.18543359E+3,
683.00,3.71632666E+3,
684.00,3.01248340E+3,
685.00,4.83010840E+3,
686.00,5.14657764E+3,
687.00,4.16858838E+3,
688.00,2.37546240E+3,
689.00,2.94381445E+3,
690.00,8.12679749E+2,
691.00,5.48509961E+3,
692.00,4.17310303E+3,
693.00,2.81994336E+3,
694.00,3.71413892E+3,
695.00,3.47850708E+3,
696.00,3.23029199E+3,
697.00,8.92057129E+2,
698.00,3.01742822E+3,
699.00,3.36656982E+3,
700.00,2.78805078E+3,
