Labels,ZnSe-020922 EmScan,
Type,Emission Scan,
Comment,,
Start,320.00,
Stop,500.00,
Step,1.00,
Fixed/Offset,300.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,3.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,3.00,
Detector,Detector 1,

320.00,1.71490801E+4,
321.00,1.74546523E+4,
322.00,1.68441563E+4,
323.00,1.57919141E+4,
324.00,1.49339482E+4,
325.00,1.45715205E+4,
326.00,1.49310205E+4,
327.00,1.69105234E+4,
328.00,2.18536250E+4,
329.00,2.71891152E+4,
330.00,3.18364258E+4,
331.00,3.59228359E+4,
332.00,3.82781484E+4,
333.00,3.62864648E+4,
334.00,3.34018008E+4,
335.00,2.87123848E+4,
336.00,2.49413398E+4,
337.00,2.04803184E+4,
338.00,1.85852168E+4,
339.00,1.72147773E+4,
340.00,1.80368516E+4,
341.00,1.99432676E+4,
342.00,2.27043457E+4,
343.00,2.42807930E+4,
344.00,2.56125156E+4,
345.00,2.60724902E+4,
346.00,2.82807715E+4,
347.00,2.85491641E+4,
348.00,2.95363730E+4,
349.00,3.00247480E+4,
350.00,3.16286875E+4,
351.00,3.18345469E+4,
352.00,3.06344570E+4,
353.00,3.09099336E+4,
354.00,2.98945996E+4,
355.00,2.97713809E+4,
356.00,2.88139727E+4,
357.00,2.80261973E+4,
358.00,2.61840781E+4,
359.00,2.48531660E+4,
360.00,2.42362305E+4,
361.00,2.32717305E+4,
362.00,2.18284980E+4,
363.00,2.17220684E+4,
364.00,2.07627539E+4,
365.00,2.04099004E+4,
366.00,1.97338145E+4,
367.00,1.95128984E+4,
368.00,1.94232891E+4,
369.00,1.84765527E+4,
370.00,1.81586738E+4,
371.00,1.75714219E+4,
372.00,1.72107813E+4,
373.00,1.67512090E+4,
374.00,1.62380313E+4,
375.00,1.58963174E+4,
376.00,1.54985596E+4,
377.00,1.57142627E+4,
378.00,1.52898721E+4,
379.00,1.50329209E+4,
380.00,1.47306963E+4,
381.00,1.46099600E+4,
382.00,1.41602520E+4,
383.00,1.35847783E+4,
384.00,1.33615283E+4,
385.00,1.30576445E+4,
386.00,1.28087578E+4,
387.00,1.19111934E+4,
388.00,1.20118369E+4,
389.00,1.20613838E+4,
390.00,1.13672920E+4,
391.00,1.10408262E+4,
392.00,1.06702061E+4,
393.00,1.02206465E+4,
394.00,1.01882461E+4,
395.00,1.00515576E+4,
396.00,9.42637305E+3,
397.00,9.46906152E+3,
398.00,9.04870605E+3,
399.00,8.75258301E+3,
400.00,8.34033105E+3,
401.00,8.34588770E+3,
402.00,8.12151172E+3,
403.00,7.78058643E+3,
404.00,7.62658887E+3,
405.00,7.33358008E+3,
406.00,7.23107422E+3,
407.00,7.16956104E+3,
408.00,6.54221289E+3,
409.00,6.47668457E+3,
410.00,6.21947266E+3,
411.00,5.88526367E+3,
412.00,5.55818994E+3,
413.00,5.48299512E+3,
414.00,5.56808057E+3,
415.00,5.23220361E+3,
416.00,5.17479932E+3,
417.00,5.06962256E+3,
418.00,4.98470264E+3,
419.00,4.75213721E+3,
420.00,4.79986182E+3,
421.00,4.54731250E+3,
422.00,4.47665674E+3,
423.00,4.47303564E+3,
424.00,4.22199658E+3,
425.00,4.02206006E+3,
426.00,4.00950073E+3,
427.00,4.09085083E+3,
428.00,3.88947168E+3,
429.00,3.84964038E+3,
430.00,3.70122461E+3,
431.00,3.64463330E+3,
432.00,3.53759424E+3,
433.00,3.60492651E+3,
434.00,3.36584155E+3,
435.00,3.38304907E+3,
436.00,3.26423218E+3,
437.00,3.35927563E+3,
438.00,3.08138354E+3,
439.00,3.12989282E+3,
440.00,3.04052246E+3,
441.00,3.23622681E+3,
442.00,3.10903564E+3,
443.00,2.79447876E+3,
444.00,2.92488452E+3,
445.00,2.77210791E+3,
446.00,2.91344092E+3,
447.00,2.85643384E+3,
448.00,2.67032471E+3,
449.00,2.69859961E+3,
450.00,2.71740356E+3,
451.00,2.83217065E+3,
452.00,2.58425464E+3,
453.00,2.48567334E+3,
454.00,2.62248340E+3,
455.00,2.56534985E+3,
456.00,2.35778687E+3,
457.00,2.55461816E+3,
458.00,2.42261328E+3,
459.00,2.48491992E+3,
460.00,2.37995068E+3,
461.00,2.35540381E+3,
462.00,2.37467993E+3,
463.00,2.21029614E+3,
464.00,2.29000879E+3,
465.00,2.27323120E+3,
466.00,2.19506128E+3,
467.00,2.02901379E+3,
468.00,2.14777783E+3,
469.00,2.00945752E+3,
470.00,2.06905054E+3,
471.00,1.91772107E+3,
472.00,2.03415039E+3,
473.00,2.00133386E+3,
474.00,2.04002869E+3,
475.00,1.89271729E+3,
476.00,1.89115857E+3,
477.00,2.09310693E+3,
478.00,1.89973132E+3,
479.00,1.87062939E+3,
480.00,1.91932617E+3,
481.00,1.93585803E+3,
482.00,1.97096289E+3,
483.00,1.84343115E+3,
484.00,1.92698938E+3,
485.00,1.78568896E+3,
486.00,1.86067383E+3,
487.00,1.92405835E+3,
488.00,1.74948108E+3,
489.00,1.89248291E+3,
490.00,1.78107239E+3,
491.00,1.70161682E+3,
492.00,1.73586365E+3,
493.00,1.81475012E+3,
494.00,1.83626831E+3,
495.00,1.82483313E+3,
496.00,1.69253088E+3,
497.00,1.76652759E+3,
498.00,1.71630127E+3,
499.00,1.76129700E+3,
500.00,1.84540601E+3,
