Labels,ZnSe-020922 ExScan,
Type,Excitation Scan,
Comment,,
Start,250.00,
Stop,340.00,
Step,1.00,
Fixed/Offset,365.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,3.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,3.00,
Detector,Detector 1,

250.00,1.31301748E+4,
251.00,1.36699639E+4,
252.00,1.28783359E+4,
253.00,1.27114199E+4,
254.00,1.28104688E+4,
255.00,1.28188506E+4,
256.00,1.30046973E+4,
257.00,1.28668838E+4,
258.00,1.30468760E+4,
259.00,1.28688467E+4,
260.00,1.40478594E+4,
261.00,1.37926563E+4,
262.00,1.32759209E+4,
263.00,1.34596338E+4,
264.00,1.38663008E+4,
265.00,1.37932451E+4,
266.00,1.43151455E+4,
267.00,1.41913770E+4,
268.00,1.47441182E+4,
269.00,1.49566543E+4,
270.00,1.40348809E+4,
271.00,1.50278818E+4,
272.00,1.52198955E+4,
273.00,1.55819229E+4,
274.00,1.51118613E+4,
275.00,1.58777607E+4,
276.00,1.67366328E+4,
277.00,1.61994072E+4,
278.00,1.68320840E+4,
279.00,1.70431816E+4,
280.00,1.66769063E+4,
281.00,1.77511777E+4,
282.00,1.85019316E+4,
283.00,1.86911992E+4,
284.00,1.89615137E+4,
285.00,1.91455859E+4,
286.00,1.98868535E+4,
287.00,1.96087539E+4,
288.00,1.96666133E+4,
289.00,1.98561348E+4,
290.00,2.03937070E+4,
291.00,1.98012852E+4,
292.00,1.99433613E+4,
293.00,2.05675625E+4,
294.00,2.01800313E+4,
295.00,2.11871836E+4,
296.00,2.11641055E+4,
297.00,2.12403809E+4,
298.00,2.13172109E+4,
299.00,2.10436367E+4,
300.00,2.08568613E+4,
301.00,2.03253848E+4,
302.00,2.06146738E+4,
303.00,2.02748516E+4,
304.00,1.99848438E+4,
305.00,1.97576934E+4,
306.00,1.99593613E+4,
307.00,2.03332480E+4,
308.00,2.03533281E+4,
309.00,2.07474824E+4,
310.00,2.02839922E+4,
311.00,2.02276758E+4,
312.00,1.98372305E+4,
313.00,1.94107070E+4,
314.00,1.92158672E+4,
315.00,1.85904805E+4,
316.00,1.87762012E+4,
317.00,1.82850664E+4,
318.00,1.84552637E+4,
319.00,1.86237266E+4,
320.00,1.90158691E+4,
321.00,1.94139141E+4,
322.00,1.95243945E+4,
323.00,1.92907148E+4,
324.00,1.99309160E+4,
325.00,2.05635195E+4,
326.00,2.20806582E+4,
327.00,2.38004180E+4,
328.00,2.58689453E+4,
329.00,2.65068125E+4,
330.00,2.60984824E+4,
331.00,2.49349727E+4,
332.00,2.35694453E+4,
333.00,2.27112773E+4,
334.00,2.26210020E+4,
335.00,2.31500195E+4,
336.00,2.32829395E+4,
337.00,2.39511250E+4,
338.00,2.37900547E+4,
339.00,2.37229297E+4,
340.00,2.46583750E+4,
